instance,config,best,avg,worst,runs_completed,runs_timed_out,total_time_sec,ls_best,ls_avg,ls_improvement_avg,ls_total_time_sec
australia_iptv,C1_Baseline,2601,2538.3,2474,3,0,721.34,2763,2709.7,171.3,80.92
australia_iptv,C2_Exploitation,2578,2501.0,2390,3,0,615.94,2881,2702.7,201.7,70.15
australia_iptv,C3_Exploration,2551,2522.0,2495,3,0,714.04,2701,2661.7,139.7,63.33
australia_iptv,C4_Balanced,2552,2461.6,2426,5,0,743.98,2764,2646.0,184.4,109.16
australia_iptv,C5_WidePopulation,2557,2513.2,2486,5,0,672.15,2876,2706.0,192.8,81.18
canada_pw,C1_Baseline,2631,2567.0,2516,4,0,766.52,3307,3208.0,641.0,120.4
canada_pw,C2_Exploitation,2559,2518.8,2485,4,0,769.67,3654,3518.5,999.8,140.15
canada_pw,C3_Exploration,2501,2463.3,2391,3,0,620.21,3114,2929.3,466.0,89.11
canada_pw,C4_Balanced,2464,2437.8,2372,4,0,667.89,3212,3111.0,673.2,139.11
canada_pw,C5_WidePopulation,2692,2562.2,2464,4,0,671.37,3680,3172.5,610.2,132.33
china_pw,C1_Baseline,1859,1853.0,1847,2,0,760.58,1895,1887.0,34.0,155.33
china_pw,C2_Exploitation,1937,1919.0,1901,2,0,804.67,1974,1961.5,42.5,167.69
china_pw,C3_Exploration,1959,1906.0,1853,2,0,887.43,2007,1946.0,40.0,166.7
china_pw,C4_Balanced,1909,1901.0,1893,2,0,667.81,1939,1937.0,36.0,140.03
china_pw,C5_WidePopulation,1902,1887.5,1873,2,0,674.76,1961,1949.0,61.5,198.83
croatia_tv_input,C1_Baseline,1703,1638.8,1591,10,0,26.04,1804,1698.9,60.1,0.41
croatia_tv_input,C2_Exploitation,1705,1600.4,1482,10,0,25.32,1854,1724.9,124.5,0.44
croatia_tv_input,C3_Exploration,1867,1768.3,1642,10,0,32.44,1933,1828.9,60.6,0.37
croatia_tv_input,C4_Balanced,1819,1680.8,1598,10,0,24.41,1860,1723.0,42.2,0.5
croatia_tv_input,C5_WidePopulation,1974,1751.2,1635,10,0,20.65,2021,1807.6,56.4,0.4
france_iptv,C1_Baseline,2053,1992.0,1913,8,0,647.0,2390,2112.4,120.4,204.3
france_iptv,C2_Exploitation,2073,1967.5,1864,8,0,603.92,2441,2075.6,108.1,157.24
france_iptv,C3_Exploration,2069,1998.2,1913,6,0,611.38,2258,2108.8,110.7,155.37
france_iptv,C4_Balanced,2044,1987.8,1892,8,0,623.49,2190,2109.6,121.9,221.87
france_iptv,C5_WidePopulation,2094,1981.2,1896,9,0,612.85,2347,2151.3,170.1,209.25
germany_tv_input,C1_Baseline,932,919.9,912,10,0,11.68,932,923.5,3.6,0.82
germany_tv_input,C2_Exploitation,922,915.3,902,10,0,10.11,932,924.0,8.7,0.66
germany_tv_input,C3_Exploration,932,925.6,917,10,0,11.15,932,928.5,2.9,0.5
germany_tv_input,C4_Balanced,923,918.8,900,10,0,9.37,932,926.0,7.2,0.67
germany_tv_input,C5_WidePopulation,932,918.6,910,10,0,8.01,932,924.5,5.9,0.72
kosovo_tv_input,C1_Baseline,1467,1425.8,1384,10,0,25.13,1495,1446.0,20.2,0.54
kosovo_tv_input,C2_Exploitation,1387,1355.1,1293,10,0,22.64,1450,1403.5,48.4,0.45
kosovo_tv_input,C3_Exploration,1505,1437.9,1397,10,0,25.7,1534,1479.4,41.5,0.38
kosovo_tv_input,C4_Balanced,1462,1423.2,1384,10,0,22.44,1510,1454.4,31.2,0.4
kosovo_tv_input,C5_WidePopulation,1490,1439.1,1386,10,0,16.81,1533,1467.0,27.9,0.47
netherlands_tv_input,C1_Baseline,1555,1496.6,1403,10,0,23.28,1623,1541.3,44.7,0.63
netherlands_tv_input,C2_Exploitation,1559,1430.3,1308,10,0,26.05,1589,1495.2,64.9,0.59
netherlands_tv_input,C3_Exploration,1598,1501.6,1449,10,0,26.1,1678,1566.5,64.9,0.58
netherlands_tv_input,C4_Balanced,1664,1495.2,1417,10,0,20.63,1692,1516.7,21.5,0.54
netherlands_tv_input,C5_WidePopulation,1531,1490.1,1424,10,0,19.11,1555,1509.7,19.6,0.48
singapore_pw,C1_Baseline,2516,2413.9,2330,9,0,616.76,3134,2835.7,421.8,134.13
singapore_pw,C2_Exploitation,2596,2396.0,2183,9,0,621.35,2925,2801.1,405.1,149.21
singapore_pw,C3_Exploration,2616,2463.8,2302,8,0,619.52,3315,2980.6,516.9,116.45
singapore_pw,C4_Balanced,2642,2433.2,2299,10,0,619.91,3318,2783.1,349.9,133.26
singapore_pw,C5_WidePopulation,2553,2439.6,2355,10,0,618.92,3218,2982.6,543.0,187.72
spain_iptv,C1_Baseline,2172,2084.6,1987,9,0,611.79,2479,2276.6,192.0,287.26
spain_iptv,C2_Exploitation,2361,2088.5,1899,10,0,578.24,2611,2299.1,210.6,250.94
spain_iptv,C3_Exploration,2124,2064.7,2006,10,0,657.65,2360,2211.7,147.0,233.18
spain_iptv,C4_Balanced,2199,2067.1,1935,10,0,541.97,2375,2149.3,82.2,252.34
spain_iptv,C5_WidePopulation,2252,2052.4,1963,10,0,657.95,2410,2245.6,193.2,334.66
toy,C1_Baseline,380,380.0,380,10,0,8.89,380,380.0,0.0,0.16
toy,C2_Exploitation,380,380.0,380,10,0,6.83,380,380.0,0.0,0.11
toy,C3_Exploration,380,380.0,380,10,0,8.58,380,380.0,0.0,0.16
toy,C4_Balanced,380,380.0,380,10,0,6.93,380,380.0,0.0,0.13
toy,C5_WidePopulation,380,380.0,380,10,0,5.92,380,380.0,0.0,0.13
uk_iptv,C1_Baseline,2590,2433.0,2347,3,0,701.87,3118,2693.7,260.7,164.76
uk_iptv,C2_Exploitation,2476,2408.0,2340,3,0,649.47,3079,2794.3,386.3,188.21
uk_iptv,C3_Exploration,2675,2512.7,2397,3,0,720.51,3193,2879.0,366.3,219.95
uk_iptv,C4_Balanced,2529,2463.0,2398,4,0,790.64,2942,2756.2,293.2,277.74
uk_iptv,C5_WidePopulation,2675,2519.0,2380,3,0,601.58,3014,2831.7,312.7,235.57
uk_tv_input,C1_Baseline,1538,1431.2,1341,10,0,149.38,1791,1610.5,179.3,1.22
uk_tv_input,C2_Exploitation,1563,1369.3,1247,10,0,158.5,1775,1532.3,163.0,1.15
uk_tv_input,C3_Exploration,1521,1459.8,1414,10,0,185.4,1698,1582.0,122.2,0.91
uk_tv_input,C4_Balanced,1540,1466.4,1377,10,0,133.93,1796,1601.2,134.8,0.93
uk_tv_input,C5_WidePopulation,1533,1436.9,1348,10,0,111.23,1611,1552.9,116.0,0.94
us_iptv,C1_Baseline,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
us_iptv,C2_Exploitation,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
us_iptv,C3_Exploration,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
us_iptv,C4_Balanced,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
